Hasta Sayisi,Test Sayisi,Vefat Sayisi,Iyilesen Sayisi
1581,116608,56,1355
1511,112421,55,1229
1603,115632,57,1320
1429,104402,57,1182
1502,103219,59,1211
1442,114857,63,1506
1407,113546,67,1402
1391,112098,65,1245
1427,114940,68,1452
1412,115523,65,1422
1467,101119,68,1116
1511,102009,71,1232
1665,112885,73,1318
1721,113317,74,1241
1767,112102,72,1027
1692,114311,65,1261
1743,112942,68,1202
1519,95321,61,1116
1538,97416,68,1312
1771,111113,62,1060
1648,109985,66,1143
1771,112645,63,1342
1742,110412,67,1202
1716,112563,63,1225
1527,96097,57,1102
1509,98326,48,1207
1671,112213,56,1117
1512,107702,58,1219
1673,111193,55,943
1761,110565,52,1093
1703,103925,57,1047
1578,96842,53,1013
1673,99497,56,984
1612,117113,53,1021
1642,110225,49,1211
1596,107927,45,947
1572,109443,47,1003
1587,110102,44,1087
1482,91302,42,1027
1549,101414,39,1003
1517,107814,36,1017
1491,106111,26,995
1313,100109,20,1002
1502,98231,24,887
1443,95943,18,743
1217,80302,19,795
1309,93007,22,801
1203,92227,22,772
1412,92301,19,882
1303,87223,23,1002
1263,82318,20,942
1223,74846,22,1002
1192,65956,19,997
1256,67214,21,992
1226,70192,22,923
1243,66892,21,968
1212,67237,18,934
1183,61716,15,1185
1193,62219,14,1211
1182,61446,15,1103
1172,63842,16,1082
1185,56726,15,1028
1153,54494,14,1040
1178,53842,19,1015
1083,46249,18,994
995,41301,19,1003
987,40247,18,978
996,44846,19,981
982,46492,17,996
967,43967,15,982
942,45712,14,996
963,47412,15,1092
919,45283,17,982
927,40016,17,1010
921,43312,16,1103
937,42986,17,1009
913,43343,18,1151
902,43404,19,1203
928,42846,18,1009
931,43404,17,992
924,41310,16,997
918,40943,17,1179
926,41215,18,1014
933,42411,21,1087
947,42320,17,1013
992,43231,20,1049
1008,46492,19,1156
1012,45232,19,1298
1016,48813,21,1334
1003,48787,23,1493
1024,50103,18,2879
1041,49302,22,2219
1053,50545,19,2297
1086,52193,16,2315
1148,46414,19,1188
1172,52141,19,1313
1186,49714,17,1543
1192,52313,19,2311
1293,50492,16,1302
1374,51014,18,1214
1356,48309,15,1413
1372,45213,17,1984
1396,51198,19,1492
1458,52303,21,1472
1492,53486,24,1386
1268,42982,27,1315
1212,41413,24,1293
1192,40496,23,1412
1248,41112,22,1312
1214,41316,23,1494
1304,48412,21,1382
1429,52901,19,1261
1467,46800,17,1015
1592,42032,18,947
1562,45176,15,1330
1459,45092,14,985
1195,41013,15,1242
987,49190,17,1021
922,36521,17,2241
993,37225,18,3218
989,39361,19,3411
914,35335,23,2647
878,35846,21,1922
930,57829,18,1622
988,54234,21,926
867,52305,24,931
786,32325,22,974
827,31525,23,974
839,35600,25,989
983,39230,26,1021
1141,36155,28,1594
1182,33559,30,1576
1035,21043,34,1286
948,19853,28,1492
987,21492,29,1321
1141,24589,32,1092
1186,40178,32,1491
952,37507,27,1121
961,33633,27,1003
972,20838,23,1092
1022,25382,28,1318
1158,25141,31,1615
1368,35369,44,1825
1610,42236,41,2004
1708,38565,48,2103
1635,34821,55,2315
1639,33332,58,2826
1704,37351,53,3109
1114,32722,55,3089
1542,36187,47,3211
1546,35605,50,3084
1848,33687,48,3412
1977,30395,57,4782
2253,30303,64,4917
1832,33283,59,5119
1614,35771,64,5015
1670,24001,61,4892
1983,36318,78,4451
2188,41431,84,4922
2615,42004,93,4846
2936,43498,89,5231
2392,29230,92,5018
2131,20143,95,4651
2357,30177,99,3558
2861,38308,106,3845
3122,38351,109,3246
3116,40962,115,2014
3083,37535,117,1559
4611,39429,119,1488
4674,39703,123,1454
3977,35344,127,1523
3783,40520,121,1822
4353,40270,126,1542
4801,40427,125,1415
4291,34090,115,875
4062,33070,107,842
4093,34456,98,511
4789,35720,97,481
5138,33170,95,542
4747,30864,98,281
4056,28578,96,296
4117,24900,87,264
3892,20023,76,256
3148,21400,75,284
3135,20065,73,256
3013,19664,76,302
2786,16160,69,nan
2456,18757,79,nan
2148,14396,63,nan
2704,15422,46,nan
1610,11535,37,nan
1815,9982,23,nan
1704,7641,16,nan
2069,7533,17,nan
